"","tweet_id","airline_sentiment_confidence","negativereason","negativereason_confidence","airline","airline_sentiment_gold","name","negativereason_gold","retweet_count","text","tweet_coord","tweet_created","tweet_location","user_timezone","airline_sentiment","ID_unit","Prob","Stratum"
"321",568663147189415936,1,"Customer Service Issue",0.6596,"Virgin America","","davidhfe","",0,"@virginAmerica Other carriers are less than half price for a round trip fare. I am stunned. http://t.co/UKdjjijroW","","2015-02-19 22:47:14 -0800","San Francisco, CA","Pacific Time (US & Canada)","negative",127,0.0653737197646546,1
"322",568662343170674688,1,"Flight Booking Problems",0.6841,"Virgin America","","davidhfe","",0,"@VirginAmerica WTF is happening in PDX Late Flight March such that one way from SFO is ~$550?","","2015-02-19 22:44:02 -0800","San Francisco, CA","Pacific Time (US & Canada)","negative",128,0.0653737197646546,1
"339",568576829000425472,1,"Customer Service Issue",0.6543,"Virgin America","","joyabsalon","",0,"@VirginAmerica Applied for Status Match on Feb 1. Got confirmation email same day. Still no news though. You guys have dropped ball Late Flightly 😥","","2015-02-19 17:04:14 -0800","Northern Virginia","Eastern Time (US & Canada)","negative",132,0.0653737197646546,1
"345",568536882012749824,0.6539,"Customer Service Issue",0.3461,"Virgin America","","conorjrogers","",0,"@VirginAmerica trying to check-in...but looks like your site is down?","","2015-02-19 14:25:30 -0800"," DC | Jersey City","Eastern Time (US & Canada)","negative",133,0.0653737197646546,1
"368",568463892453724160,1,"Bad Flight",0.6899,"Virgin America","","wmrrock","",0,"@VirginAmerica on VX399 from JFK to LA - dirty plane - not up to your standards.","","2015-02-19 09:35:28 -0800","CT","Eastern Time (US & Canada)","negative",144,0.0653737197646546,1
"373",568456334581981184,1,"Customer Service Issue",1,"Virgin America","","mightymeesh","",0,"@VirginAmerica currently in minute 10 of being on hold with cust. service. Do I need to do anything to add a lap child to my reservation?","","2015-02-19 09:05:26 -0800","San Francisco","","negative",148,0.0653737197646546,1
"570",570272997052805120,1,"Customer Service Issue",1,"United","","johnkarpf","",0,"@united No. Denver said they don't handle baggage that made it to Colo. Springs.  They gave me an 800 number to call. No help there either.","","2015-02-24 09:24:12 -0800","Jacksonville, FL","Eastern Time (US & Canada)","negative",219,0.0653737197646546,1
"610",570252146320351232,1,"Late Flight",1,"United","","PFlandersdc","",0,"@united #worst2unitedflightsever UA1429 IAD to LAS 2/19 mechanical problems - switched aircraft delayed 3.5 hours!","","2015-02-24 08:01:21 -0800","","","negative",247,0.0653737197646546,1
"679",570200756827000832,1,"Can't Tell",0.3547,"United","","MeganHolstein","",0,"@united I'm seeking to go 2 client. B/c u cant get me there I need refund. I filled out form not confident it works if past is an indication","","2015-02-24 04:37:08 -0800","","","negative",296,0.0653737197646546,1
"699",570175513035214848,1,"Lost Luggage",1,"United","","michaelsalinger","",0,"@united did  bags make it on the flight out of iad? second day without clothes is pretty inconvenient. We're pretty curious #UnitedAirlines","","2015-02-24 02:56:50 -0800","mentor, Ohio","Eastern Time (US & Canada)","negative",309,0.0653737197646546,1
"705",570165459783450624,0.6635,"Lost Luggage",0.6635,"United","","LukeGzus","",0,"@united about 3 hours ago. I need to work out if my bag can make it to my hotel here in time or if it will need to go elsewhere.","","2015-02-24 02:16:53 -0800","","","negative",313,0.0653737197646546,1
"711",570160120698679296,1,"Customer Service Issue",0.6975,"United","","Finrz","",0,"@united customer service is atrocious! You have disrupted my travel plans, you have lost my luggage and it is impossible to TALK TO A HUMAN","","2015-02-24 01:55:40 -0800","iPhone: 55.946030,-3.189382","Hawaii","negative",316,0.0653737197646546,1
"779",570083898031513600,1,"Can't Tell",0.6473,"United","","FIETA_DOC","",0,"@united I'm constantly having challenges with upgrades &amp; charges. In order to prevent DVT I have to pay an addtl $180 http://t.co/xC6jQ70r7B","","2015-02-23 20:52:47 -0800","Madison, NJ","","negative",363,0.0653737197646546,1
"799",570078733735821312,1,"Flight Attendant Complaints",0.672,"United","","throthra","",0,"@united well, considering every agent before claimed they were unable to help with everything else, why waste more time to hear 'call corp'","","2015-02-23 20:32:16 -0800","","","negative",376,0.0653737197646546,1
"811",570071482182692864,0.6588,"Can't Tell",0.6588,"United","","oduric","",0,"@united Your website deserves a new design. #html5 FTW!","","2015-02-23 20:03:27 -0800","Singapore","Berlin","negative",383,0.0653737197646546,1
"816",570067181733580800,1,"Lost Luggage",1,"United","","ColtonWoytas","",1,"@united Connection at ORD was on the exact same plane again. Checked carry-on was apparently taken off &amp; left in Chicago. Pretty ridiculous.","","2015-02-23 19:46:22 -0800","NY","Mountain Time (US & Canada)","negative",386,0.0653737197646546,1
"825",570063826508320768,1,"Can't Tell",1,"United","","handsomanderson","",1,"@united has once again let me down. Don't think I've ever flown with them and not had problems. Worst airline period.","","2015-02-23 19:33:02 -0800","Los Vancouver, CA","Pacific Time (US & Canada)","negative",393,0.0653737197646546,1
"858",570050268588597248,0.6847,"Lost Luggage",0.6847,"United","","MommyPR","",0,"@united can you tell me how to file a claim for clothing that had to be purchased?","","2015-02-23 18:39:09 -0800","Global","Pacific Time (US & Canada)","negative",418,0.0653737197646546,1
"891",570033341250056192,1,"Customer Service Issue",0.6689,"United","","dannydibiase1","",0,"@united i left an item on the plane and have been calling non stop and no one has been answering can you please help","","2015-02-23 17:31:53 -0800","","","negative",436,0.0653737197646546,1
"918",570016052895092736,1,"Customer Service Issue",0.6566,"United","","tclarktweets","",0,"@united boarding time shows 35 min and your gate agent started at 45. showed up at 4:00 and they had to check bag. http://t.co/zCBJyo6lsN","","2015-02-23 16:23:12 -0800","San Francisco, CA ","","negative",453,0.0653737197646546,1
"920",570014406320517120,1,"Bad Flight",0.6656,"United","","brooklyn_dodger","",0,"@united empathizes w/ my disappointment that 1stClass flight w/nonworking entertainmnt is worth $50. #UnFriendlySkies http://t.co/lOecO4gmvd","","2015-02-23 16:16:39 -0800","Brooklyn","Eastern Time (US & Canada)","negative",455,0.0653737197646546,1
"931",570004899234074624,1,"Bad Flight",1,"United","","ganteisan","",0,"@united cs thinks that miles can repair the damage done, it will be interesting if they travel in @united and exp the worst flight ever!","","2015-02-23 15:38:52 -0800","Santiago, Chile","Santiago","negative",462,0.0653737197646546,1
"936",570002150115254272,1,"Customer Service Issue",0.6466,"United","","aliasboogie","",0,"@united I took the exact same aircraft in to LAX 3 days ago. It fit, no problem. The agent today told some nonsense about a policy change","","2015-02-23 15:27:57 -0800","New York City, NY","Eastern Time (US & Canada)","negative",465,0.0653737197646546,1
"941",569999790328541184,1,"Flight Attendant Complaints",0.663,"United","","aliasboogie","",0,"@united I was denied getting on the plane w/o getting the chance to prove it fits. I'm not a rookie. Read my bio.","","2015-02-23 15:18:34 -0800","New York City, NY","Eastern Time (US & Canada)","negative",470,0.0653737197646546,1
"963",569988762085806080,1,"Customer Service Issue",0.6737,"United","","mironovich","",0,"@united I did... no response back","","2015-02-23 14:34:45 -0800","Morristown, nj","Eastern Time (US & Canada)","negative",484,0.0653737197646546,1
"967",569987348772950016,1,"Cancelled Flight",0.65,"United","","KelliZink","",0,"@united you Cancelled Flighted our flights for no reason &amp; now we have been on the phone for AN HOUR on our vacation. Why?","","2015-02-23 14:29:08 -0800","Chicago & traveling the world","Central Time (US & Canada)","negative",487,0.0653737197646546,1
"973",569983375584272384,1,"Customer Service Issue",0.6526,"United","","ryanaround","",0,"@united someone needs to DM me and resolve this correctly. Extremely disappointed with the service I received. Terrible management.","","2015-02-23 14:13:21 -0800","San Francisco","Pacific Time (US & Canada)","negative",492,0.0653737197646546,1
"981",569979211722596352,1,"Can't Tell",0.6804,"United","","CoffeeCult448","",0,"@united I think DM would be better","","2015-02-23 13:56:48 -0800","Buffalo/Oakland/Savannah/Ire","","negative",500,0.0653737197646546,1
"982",569977492720779264,1,"Late Flight",1,"United","","pjmartin44","",0,"@United gate announcement states delay due to maintenance yet app says Late Flight arriving aircraft  tell the truth! @unfriendly","","2015-02-23 13:49:58 -0800","","Eastern Time (US & Canada)","negative",501,0.0653737197646546,1
"1016",569964915710038016,1,"Late Flight",1,"United","","cristobalwong","",1,"@United We've been waiting on tarmac for &gt;1hr because apparently UA1116 is overweight &amp; we returned to gate. #WTF #fb","","2015-02-23 12:59:59 -0800","San Francisco Bay Area","","negative",526,0.0653737197646546,1
"1025",569961203197325312,1,"Lost Luggage",0.6875,"United","","twohlix","",1,"@united We've had a ton of problems with getting our bags and have been given the run around for a day. Whats up with that?","","2015-02-23 12:45:14 -0800","Washington, DC","Eastern Time (US & Canada)","negative",532,0.0653737197646546,1
"1026",569960988499275776,1,"Flight Booking Problems",0.6632,"United","","berr_a","",0,"@united pedophile airline. Split myself and my 10 yr old daughter rows apart on flight 1254 to boston","","2015-02-23 12:44:23 -0800","","","negative",533,0.0653737197646546,1
"1029",569960085654364160,1,"Flight Attendant Complaints",0.6782,"United","","aliasboogie","",3,"@united is doing musicians real dirty at LAX. I've never been blocked from getting on a flight with my bass.","","2015-02-23 12:40:48 -0800","New York City, NY","Eastern Time (US & Canada)","negative",536,0.0653737197646546,1
"1053",569950450352414720,1,"Bad Flight",1,"United","","segallsays","",0,"@united I did. The AC went on for about 20 minutes before returning to the Mojave Desert. #PressureCooker #HeatTrap","[29.7421541, -95.5600896]","2015-02-23 12:02:31 -0800","Houston, TX","America/Chicago","negative",553,0.0653737197646546,1
"1069",569937806518169600,0.6506,"Can't Tell",0.3535,"United","","Austin_Grisham","",0,"@united Woke up to notification- flight moved 1.5 hrs early. Barely made flight then 3 hrs layover in SFO - wanted to hop on earlier option","","2015-02-23 11:12:16 -0800","PDX","Alaska","negative",564,0.0653737197646546,1
"1076",569936348217352192,1,"Cancelled Flight",1,"United","","katiedonohue","",0,"@united 2 Cancelled Flighted flights Late Flightr, agent claimed she put me on a new flight but then Cancelled Flighted it. Coworker got on flight- now delayed. Now?","[41.97758466, -87.91065356]","2015-02-23 11:06:28 -0800","Washington D.C.","Eastern Time (US & Canada)","negative",570,0.0653737197646546,1
"1155",569912710848057344,1,"Late Flight",1,"United","","ADanaiBaker","",0,"@united Now arriving a day and a half Late Flightr than supposed to. Lesson of the day, don't believe verbal or written confirmations from United","","2015-02-23 09:32:33 -0800","","","negative",628,0.0653737197646546,1
"1176",569905258715082752,1,"Cancelled Flight",0.707,"United","","gwen1013","",0,"@united Has it departed? I was awaiting an inbound plane yesterday for three hours and it never arrived. Had to stay overnight (again).","","2015-02-23 09:02:56 -0800","New Haven, CT","","negative",644,0.0653737197646546,1
"1181",569903840507506688,1,"Late Flight",0.3456,"United","","chefpaulcia","",0,"@united sitting in a plane with no pilot.  Thanks! #waitingonapilot #denver #siouxfalls #whyairtravelsucks","","2015-02-23 08:57:18 -0800","","Central Time (US & Canada)","negative",647,0.0653737197646546,1
"1204",569888244856455168,0.6389,"Customer Service Issue",0.6389,"United","","cslhilo","",0,"@united Please msg me a # for customer service. I will have an invoice for my dry cleaning but won't be able take wet clothes to the airport","","2015-02-23 07:55:20 -0800","Hilo, HI","Hawaii","negative",664,0.0653737197646546,1
"1218",569880322487263232,1,"Late Flight",1,"United","","DanaHFreeman","",0,"@united Late Flight crew into #btv last nite delayed todays flt. Will miss connection to #cun. Why do I have to play for hotel tonight in #ewr?","","2015-02-23 07:23:51 -0800","Burlington, Vermont","Eastern Time (US & Canada)","negative",676,0.0653737197646546,1
"1261",569863765451255808,1,"Customer Service Issue",1,"United","","Kris_KAS","",0,"@united I have been told twice my issue has been resolved and twice it has not been. And when I write an email it bounces?! #worstservice","","2015-02-23 06:18:03 -0800","New York","","negative",702,0.0653737197646546,1
"1282",569854540494868480,1,"Bad Flight",1,"United","","e_russell","",0,"@united wi-fi on 737-800 (aircraft 3511) didn't work entire ORD-DCA flight this morning","","2015-02-23 05:41:24 -0800","Frequently DC/NYC/San Diego","Eastern Time (US & Canada)","negative",717,0.0653737197646546,1
"1284",569853646411661312,1,"Late Flight",1,"United","","crog","",0,".@united You may ""dislike delays"" but I paid you .We had an agreement that I paid you and you got me to my destination at a certain time.","","2015-02-23 05:37:51 -0800","","Mountain Time (US & Canada)","negative",719,0.0653737197646546,1
"1291",569850867899170816,1,"Customer Service Issue",1,"United","","alysabaker","",0,"@united hahahahaha ya tried that already","","2015-02-23 05:26:48 -0800","ÜT: 50.97861,-114.000116","Mountain Time (US & Canada)","negative",724,0.0653737197646546,1
"1299",569846237865885696,1,"Can't Tell",0.6606,"United","","mbelliss","",0,"@united you've been officially displaced by @DeltaAssist for better flight experience, pleasant cabin crew and timeliness. UA 1m switching!","","2015-02-23 05:08:24 -0800","Louisville","Alaska","negative",731,0.0653737197646546,1
"1303",569842452716236800,1,"Can't Tell",0.6702,"United","","ShowExpert","",0,"@united @ShowExpert what is going on with United's Mileage Program? You pay $500 for a ticket and get a fraction of that as PQD credit?","","2015-02-23 04:53:22 -0800","Boulder, Colorado","","negative",733,0.0653737197646546,1
"1319",569834960107868160,1,"Bad Flight",0.3771,"United","","gtifreak04","",0,"@united Stopped flying @united 1 yr ago bc of aggressive policy on carryon @bdl listening to pssngrs forced to chk@preboard,#notcomingback","","2015-02-23 04:23:36 -0800","","Quito","negative",744,0.0653737197646546,1
"1350",569791792029151232,1,"Lost Luggage",0.6853,"United","","jnml","",0,"@united it's 430am and wife still doesn't have her luggage which was promised by 8pm and said to be on its way File number: DCA48810M #Fail","","2015-02-23 01:32:04 -0800","","","negative",764,0.0653737197646546,1
"1360",569769708569767936,1,"longlines",0.6774,"United","","eryder","",0,"@united Now about two dozen back in line to see a single CSR for reFlight Booking Problems final leg. (Kiosks on fritz.)","","2015-02-23 00:04:18 -0800","Lexington, Ky","Eastern Time (US & Canada)","negative",771,0.0653737197646546,1
"1378",569749896095358976,1,"Cancelled Flight",1,"United","","patlee","",0,"@united I am very glad I took care of own rescheduling now that UA 1580 from OGG was Cancelled Flightled. http://t.co/H3k3oWOhD1","","2015-02-22 22:45:35 -0800","Bay Area, CA","Pacific Time (US & Canada)","negative",785,0.0653737197646546,1
"1392",569745645956771840,1,"Cancelled Flight",1,"United","","patlee","",0,"@united Actually, the flight was just Cancelled Flightled! http://t.co/Qf0Oc2HqeZ","[0.0, 0.0]","2015-02-22 22:28:42 -0800","Bay Area, CA","Pacific Time (US & Canada)","negative",797,0.0653737197646546,1
"1411",569730716692393984,0.6946,"Bad Flight",0.6946,"United","","Frqtflyer1","",0,"@united Why announce it is for rollers at all? If I want to put a coat in there isn't that my choice?  How about all gate checked? Thx","","2015-02-22 21:29:22 -0800","","Arizona","negative",815,0.0653737197646546,1
"1415",569726059937185792,1,"Late Flight",0.6711,"United","","markymark928","",0,"@united was a sponsor of the oscars? No wonder it was a half hour delayed. #Oscars","","2015-02-22 21:10:52 -0800","Buffalo, Ny","Quito","negative",818,0.0653737197646546,1
"1420",569724682695368704,1,"Customer Service Issue",1,"United","","anniemccleary","",0,"@united Apart from being on hold for over 2 hours and having talked to 5 people and the problem still not resolved!","","2015-02-22 21:05:23 -0800","","Brisbane","negative",822,0.0653737197646546,1
"1459",569710389757419520,1,"Lost Luggage",1,"United","","crsmoore","",1,"@united - Going on 3 days (tomorrow) and I still haven't received my bag from my flight to Toronto. Would love to see some seriousness here.","","2015-02-22 20:08:36 -0800","USA / The World","Eastern Time (US & Canada)","negative",854,0.0653737197646546,1
"1463",569710019333107712,1,"Late Flight",0.3372,"United","","patlee","",1,"@united you really screwed up dealing mechanical failure from Maui to San Francisco. Poor communication bad help in getting connections","","2015-02-22 20:07:07 -0800","Bay Area, CA","Pacific Time (US & Canada)","negative",858,0.0653737197646546,1
"1465",569709452594524160,1,"Customer Service Issue",0.6383,"United","","JasonArbaugh","",0,"@united the delay is due to customer service for 20 people?  What about the DIS-SERVICE you provided for 100+?  #FlightFail #Hour20Delay","","2015-02-22 20:04:52 -0800","","","negative",860,0.0653737197646546,1
"1479",569705220088795136,1,"Late Flight",0.6765,"United","","kaobrien812","",0,"@united that's not good enough for all of us affected by the awful organization and timing and have now been set back","","2015-02-22 19:48:03 -0800","Medford, MA","","negative",867,0.0653737197646546,1
"1492",569699471954587648,1,"Late Flight",1,"United","","bricon67","",0,"@United #1758 now going in 40 min waiting for other plane to vacate gate. #findanothergate","","2015-02-22 19:25:13 -0800","ÜT: 33.987103,-118.399024","","negative",878,0.0653737197646546,1
"1527",569681799984492544,1,"Customer Service Issue",1,"United","","almaaa08","",1,"@united so glad I've been waiting for 1 hour and 15 minutes and Ive been transferred 3 times without resolving anything. Worst service ever.","","2015-02-22 18:14:59 -0800","","Eastern Time (US & Canada)","negative",908,0.0653737197646546,1
"1543",569671468369338368,1,"Bad Flight",1,"United","","cambalam","",0,"@united I'm on UA1118 and my direct tv isn't working.  How do I avoid this in future?","","2015-02-22 17:33:56 -0800","","Singapore","negative",919,0.0653737197646546,1
"1563",569664849522925568,1,"Flight Booking Problems",0.3709,"United","","unusualcards","",0,"@united I was. But I have given up.","","2015-02-22 17:07:38 -0800","Portland, OR","","negative",934,0.0653737197646546,1
"1597",569650320613052416,1,"Late Flight",1,"United","","trinjw","",0,"@united what a long day of delays. Please get us to Dallas tonight!!!!  Fingers crossed!!!  #winterstorm2015 #whichisworsedenordfw.","","2015-02-22 16:09:54 -0800","","","negative",959,0.0653737197646546,1
"1607",569647174277042176,1,"Late Flight",0.6316,"United","","jtromano","",0,"@united false.","","2015-02-22 15:57:24 -0800","STL","Central Time (US & Canada)","negative",966,0.0653737197646546,1
"1685",569626297116176384,1,"longlines",0.6454,"United","","mgsaldana","",0,"@united still sucks. I don't understand why you have two cust service agents for a long line at Houston international b gate #unitedsucks","","2015-02-22 14:34:27 -0800","","Central Time (US & Canada)","negative",1017,0.0653737197646546,1
"1686",569625953602834432,1,"Late Flight",0.6477,"United","","iamchriswoody","",0,"@united the most frustrating flying experience. One continuous ""I dunno what time you will leave today. "". Dunno?! That's code for ...?","","2015-02-22 14:33:05 -0800","Richmond Virginia ","Eastern Time (US & Canada)","negative",1018,0.0653737197646546,1
"1688",569625173176901632,0.6891,"Late Flight",0.6891,"United","","mathardin","",0,"@united has an United flight ever been on time. #americanisbetter","","2015-02-22 14:29:59 -0800","Corpus Christi","","negative",1019,0.0653737197646546,1
"1701",569620382023622656,1,"Lost Luggage",1,"United","","jprice9227","",0,"@united lost my bags and there was a flight from Chi to Eri that landed over 1.5 hrs ago...yet still have zero updates?? #UnitedAirlinesSux","","2015-02-22 14:10:56 -0800","","","negative",1031,0.0653737197646546,1
"1713",569618868441722880,1,"Customer Service Issue",0.6809,"United","","segallsays","",0,"@united is synonymous to with #rude. And #cheap. You really don't know how to value the customer","[47.4390828, -122.300713]","2015-02-22 14:04:55 -0800","Houston, TX","America/Chicago","negative",1043,0.0653737197646546,1
"1731",569614009369907200,1,"Can't Tell",0.3603,"United","","CDNTravelGuy","",0,"@united - 3 of 6 First seats open on UA5097. No upgrades processed. Gate agents @yyz said their too busy. Not cool http://t.co/6KpyhckA9l","","2015-02-22 13:45:37 -0800","Toronto Area","Eastern Time (US & Canada)","negative",1057,0.0653737197646546,1
"1746",569606016070844416,0.3398,"Can't Tell",0.3398,"United","","emrichards","",0,"@united I'll try it. Mileage programs have historically been a lifeline for us world-hungry travelers of moderate means.","","2015-02-22 13:13:51 -0800","ÜT: 42.986193,-87.914855","Central Time (US & Canada)","negative",1069,0.0653737197646546,1
"1769",569593910869127168,1,"Late Flight",1,"United","","rmeyers_5","",0,"@United says we had a weather delay in #YXE this morning. The ""weather"" didn't affect any other airline. #UA6136 http://t.co/4JdvK8tCqx","[39.85873319, -104.67372668]","2015-02-22 12:25:45 -0800","Saskatoon","Saskatchewan","negative",1089,0.0653737197646546,1
"1787",569586373042278400,1,"Late Flight",0.3594,"United","","PatrickGrubbe","",1,"@united CMH gate staff a disaster..#3345 overbooked, no volunteers, no boarding, 20 min Late Flight trying to figure out issue #bringbackrealstaff","","2015-02-22 11:55:48 -0800","Lewis Center, OH","Eastern Time (US & Canada)","negative",1101,0.0653737197646546,1
"1790",569584561312681984,1,"Flight Booking Problems",0.3463,"United","","vallar9","",1,"@united thank you for dishonoring my upgrade and putting me in a seat I didn't want, all while not even notifying me.  Great 1K service 👎","","2015-02-22 11:48:36 -0800","Morton, IL","Central Time (US & Canada)","negative",1104,0.0653737197646546,1
"1803",569579474762608640,0.6897,"Lost Luggage",0.6897,"United","","DangVanda","",0,"@united, no. Re-booked with American and United said they'd transfer our bags to them.","","2015-02-22 11:28:23 -0800","STL","","negative",1115,0.0653737197646546,1
"1813",569573704902049792,1,"Flight Booking Problems",0.6695,"United","","KopaKola","",0,"@united your website is fucked up. Now instead of a $416 flight I should’ve had yesterday, it’s $514 today. Thanks.","","2015-02-22 11:05:28 -0800","Dirty Jerz","Eastern Time (US & Canada)","negative",1124,0.0653737197646546,1
"1819",569570444027822080,1,"Flight Booking Problems",0.6742,"United","","aDeniseHuxtable","",0,"@united I bought a ticket yesterday and received a confirmation. Tried to check in and they said I hadn't paid for it. So I called was on","","2015-02-22 10:52:30 -0800","Nueva York","Quito","negative",1129,0.0653737197646546,1
"1845",569558713079443456,1,"Late Flight",1,"United","","LMSNaomi","",0,"@united hi yes need a free hotel stay in Honalulu due to 4 hour delayUA53, since we will miss our second flight to Kauai","","2015-02-22 10:05:53 -0800","deep in the ❤ of Texas...","Atlantic Time (Canada)","negative",1148,0.0653737197646546,1
"1887",569534268130660352,1,"Late Flight",0.6769,"United","","jeisensc","",0,"@united you can't say the flight is pulled in and departs in 2 mins if boarding hasn't even started! http://t.co/2IKbP8gxWi","[39.99814659, -82.88058383]","2015-02-22 08:28:45 -0800","San Diego, CA","Pacific Time (US & Canada)","negative",1172,0.0653737197646546,1
"1892",569531988702576640,1,"Lost Luggage",0.684,"United","","plazaroff","",0,"@united DM'd you 4 hrs ago at your request. No response to be found .... just like my bag.","","2015-02-22 08:19:42 -0800","","Mountain Time (US & Canada)","negative",1177,0.0653737197646546,1
"1913",569523440547291136,1,"Late Flight",0.6875,"United","","moss_jas","",0,".@united Our newest delay, right now http://t.co/96fTLZWtvO","","2015-02-22 07:45:44 -0800","","Eastern Time (US & Canada)","negative",1190,0.0653737197646546,1
"1952",569505479795326976,0.3533,"Cancelled Flight",0.3533,"United","","CoachMcRoberts","",0,"@united Back at the Denver airport and ready for round two today. Ready to get home!","","2015-02-22 06:34:21 -0800","Oxford, MS","","negative",1218,0.0653737197646546,1
"1956",569504330551861248,1,"Lost Luggage",1,"United","","szymanski_t","",0,"@united If United loses your baggage they will get it to the airport in the country your in and then it disappears!","","2015-02-22 06:29:47 -0800","","Eastern Time (US & Canada)","negative",1222,0.0653737197646546,1
"1980",569496828376322048,1,"Cancelled Flight",0.6497,"United","","mahrruk","",0,"@united I would understand if weather was the issue, but bc of airline maintenance I had to sleep on an airport floor and lose an entire day","","2015-02-22 05:59:59 -0800","Rochester","Eastern Time (US & Canada)","negative",1242,0.0653737197646546,1
"2014",569475092582789120,1,"Customer Service Issue",1,"United","","traceyabbywhite","",0,"@united is 4:30am and I am in the customer service line trying not to scream. #epicfailunited","","2015-02-22 04:33:37 -0800","Atlantic Highlands, NJ","Eastern Time (US & Canada)","negative",1265,0.0653737197646546,1
"2061",569415109933531136,1,"Late Flight",0.6627,"United","","throthra","",0,"@united an inconvenience is a weather delay. Your pilot deciding to waste enough time so the FAA wouldn't let him fly is negligence.","","2015-02-22 00:35:16 -0800","","","negative",1301,0.0653737197646546,1
"2092",569370900568502272,1,"Late Flight",0.6867,"United","","throthra","",0,"@united more people stranded cause you suck. Better yet, you weasel out of Flight Booking Problems rooms for people claiming weather http://t.co/Flcnnn2USD","","2015-02-21 21:39:35 -0800","","","negative",1326,0.0653737197646546,1
"2095",569369331173363712,1,"Bad Flight",0.6729,"United","","tippykayak","",0,"@united Been sitting on flight 435 for an hour after landing in Newark. First no gate, then no jetway operator. Seriously!?","","2015-02-21 21:33:21 -0800","Branford, CT","Eastern Time (US & Canada)","negative",1328,0.0653737197646546,1
"2129",569349932131487744,0.6774,"Late Flight",0.3763,"United","","kreespa","",0,"@united considering I'm now stuck in Newark with virtually sleep in 30+ hours, I doubt it :/ hope car rentals are available","","2015-02-21 20:16:16 -0800","Little Rhody","Eastern Time (US & Canada)","negative",1354,0.0653737197646546,1
"2140",569342220534288384,1,"Bad Flight",0.6303,"United","","ScottyNeuman","",1,"@united 6377 and now they sent our green tagged bags to the luggage carousel. It's been one mess up after another. Bad day @united","","2015-02-21 19:45:37 -0800","Montana, God's country
","Pacific Time (US & Canada)","negative",1360,0.0653737197646546,1
"2165",569332961813753856,1,"Bad Flight",0.6721,"United","","IssenSvensson","",0,"@united I'm trying your WiFi on UA1616. But sorry it really slow. Even #Spotify lagging and that isn't a hard stream.","","2015-02-21 19:08:50 -0800","Sweden","","negative",1378,0.0653737197646546,1
